Word (Auditory),StrengthMean,ALL,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
rustling,4.667,6.200,4.580,7.730,8.540,11.550,8.500,7.980,6.030,6.170,6.320,6.450,5.680,4.110,4.960,3.660,3.540,3.950,4.290,3.350,3.790,3.640
whispering,4.667,14.440,12.750,11.820,11.960,16.270,11.510,10.490,11.310,9.500,11.240,12.340,13.230,14.150,14.450,10.920,11.920,10.200,11.190,14.750,13.440,11.850
squealing,4.667,1.890,0.000,0.070,0.510,0.360,0.180,0.430,0.550,0.730,1.460,1.210,1.830,2.710,2.300,2.270,1.990,1.910,1.440,2.750,2.700,1.780
snorting,4.650,1.970,1.860,1.310,1.770,1.690,1.120,1.490,0.650,1.520,2.000,1.390,3.270,1.620,1.720,1.120,1.650,2.010,1.640,1.900,1.980,1.410
growling,4.619,4.120,2.290,2.330,3.040,3.020,1.710,2.500,2.090,2.350,2.370,3.070,4.050,3.100,2.770,2.340,9.310,3.500,3.450,4.280,3.790,4.260
rhythmic,4.619,3.970,0.000,0.000,0.060,0.670,0.650,1.170,2.740,5.480,3.370,4.540,5.530,5.590,3.610,4.360,3.470,3.820,3.650,4.520,3.650,2.820
husky,4.619,5.330,0.430,2.480,5.000,2.840,3.960,3.620,3.590,2.990,4.100,6.060,6.690,7.040,6.930,6.980,4.840,3.430,3.420,4.130,3.930,3.500
thudding,4.571,1.120,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.100,0.320,1.000,0.700,1.660,1.500,0.940,1.680,1.180,1.810,1.480,1.750,1.160
booming,4.571,5.670,0.290,1.750,2.970,2.360,2.660,2.180,2.290,3.570,3.230,3.200,5.060,5.850,5.730,6.660,6.250,5.240,6.200,6.270,8.160,5.190
raucous,4.538,2.220,0.000,0.000,0.000,0.000,0.060,0.050,0.100,0.340,1.590,1.560,2.410,2.450,2.450,2.580,2.820,2.570,2.950,2.870,3.300,2.620
thunderous,4.524,1.920,0.000,0.150,0.380,0.360,0.940,0.590,0.950,1.570,1.550,1.770,2.100,2.240,2.260,2.650,1.580,1.420,2.380,1.780,2.500,1.440
banging,4.524,4.780,0.000,0.440,0.570,0.790,0.830,1.380,1.350,1.170,1.770,2.770,3.420,4.010,4.740,4.750,5.800,5.760,4.420,7.090,8.180,7.390
hissing,4.524,5.070,1.860,4.810,7.090,4.290,4.070,3.140,4.040,6.020,3.410,3.380,4.980,5.670,3.390,3.560,3.640,3.570,5.090,4.890,4.590,4.010
squeaking,4.524,1.580,0.570,1.310,0.950,1.870,0.350,0.430,0.700,1.030,0.410,1.170,1.010,1.410,1.720,1.260,1.920,1.770,0.970,2.200,2.010,1.690
