Word (Visual),StrengthMean,ALL,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
dusty,4.286,15.850,1.580,4.300,8.100,7.620,9.680,12.510,9.070,11.900,15.430,15.320,13.190,13.680,15.550,13.610,12.910,14.980,15.710,15.900,18.720,16.590
rippled,4.250,2.620,1.720,1.240,1.390,1.570,2.480,2.550,1.590,1.860,2.280,1.820,2.220,2.060,1.900,1.710,1.920,1.600,2.910,3.410,3.300,2.820
bursting,4.238,10.380,20.630,17.210,16.830,14.390,12.990,11.760,10.510,10.280,8.550,10.300,9.340,9.460,9.010,6.840,5.730,5.550,5.260,6.300,5.740,5.440
shallow,4.238,16.790,6.730,9.990,15.630,19.170,13.930,14.740,15.100,16.990,14.920,14.110,14.010,13.500,13.650,9.560,10.030,11.070,12.460,18.190,18.900,17.120
floppy,4.238,1.300,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.140,0.170,0.780,0.510,0.510,0.980,0.960,1.490,2.510,3.350,3.100,2.140
wispy,4.211,1.110,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.180,0.040,0.230,0.360,0.910,1.010,1.240,1.630,1.710,2.170,2.640,2.090
wiry,4.190,3.880,0.570,0.580,1.390,9.070,3.250,1.920,2.090,1.520,2.960,2.680,2.720,3.250,4.200,3.490,2.990,3.300,3.150,4.160,4.880,3.860
shaggy,4.190,6.150,4.300,5.540,7.090,6.110,5.550,4.840,5.180,4.160,3.910,3.380,6.070,3.860,4.010,3.450,6.560,6.590,11.560,3.710,4.540,4.400
lithe,4.167,3.520,1.000,0.800,1.770,2.960,5.610,5.110,5.630,4.360,4.600,4.160,4.900,2.630,2.260,2.020,2.230,2.500,1.940,2.290,2.440,1.860
contoured,4.150,0.230,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.090,0.090,0.000,0.000,0.070,0.030,0.450,0.350,0.330,0.540,0.340,0.680
strange,4.143,152.920,142.670,163.730,204.280,193.210,174.590,189.640,185.930,173.890,175.680,149.420,140.580,128.410,120.880,109.450,100.270,109.580,87.270,93.240,81.270,82.500
light,4.143,404.660,400.640,434.310,548.170,437.230,371.090,395.830,383.910,394.780,371.290,325.410,341.550,326.870,325.080,301.980,294.310,278.850,270.340,341.970,321.950,322.910
puffy,4.143,2.400,0.140,0.070,0.320,0.240,0.470,0.800,0.400,0.340,1.140,1.210,1.320,2.170,1.820,1.290,1.850,2.290,2.650,5.730,4.480,4.090
absorbent,4.143,0.530,0.570,0.220,1.520,0.180,0.240,1.010,0.250,0.340,0.320,0.430,0.350,0.290,0.510,0.280,0.580,0.380,0.570,0.630,0.400,0.310
loose,4.143,56.070,37.240,37.560,41.880,34.590,38.560,38.750,38.070,40.290,47.140,55.750,55.950,52.330,53.210,52.440,52.950,52.900,49.180,49.800,49.080,46.880
unripe,4.143,0.580,0.720,0.800,0.700,1.210,0.710,0.850,1.000,0.980,0.500,0.300,0.740,0.400,0.400,0.240,0.140,0.310,0.330,0.390,0.260,0.280
drab,4.105,3.890,0.430,1.600,2.590,1.870,2.180,2.020,1.740,0.880,1.640,2.990,5.410,4.730,5.950,5.200,4.670,3.750,3.680,3.350,2.790,2.910
branching,4.100,1.810,1.150,2.480,1.770,2.900,1.650,1.380,1.890,2.350,2.910,2.080,1.560,0.900,0.770,0.870,1.300,0.800,1.780,1.330,0.860,1.830
dead,4.095,271.640,206.840,182.550,265.320,195.940,217.100,231.840,227.440,233.370,207.850,209.320,196.960,214.920,227.560,222.950,226.250,250.510,257.910,265.040,270.660,239.840
rotten,4.095,12.340,8.450,5.180,6.520,5.500,5.370,5.320,4.630,5.830,7.690,12.730,16.810,19.960,10.690,11.370,14.460,17.520,12.600,10.500,8.180,7.590
roasting,4.048,2.790,0.430,2.770,1.710,1.810,2.480,2.610,3.090,1.710,0.960,1.080,1.480,1.340,2.740,2.020,1.030,1.730,2.810,4.590,4.340,3.470
frosty,4.048,3.910,3.290,3.060,3.480,5.560,5.370,5.270,3.890,4.260,3.280,4.460,3.810,3.320,3.280,2.130,2.230,1.840,4.620,2.530,2.410,2.170
broad,4.048,72.650,70.900,94.810,116.780,100.810,95.240,80.950,79.530,89.200,78.490,67.350,59.650,57.820,51.200,48.180,46.660,45.750,48.040,40.690,42.500,40.110
lush,4.048,4.430,0.000,0.070,0.380,0.120,0.470,0.320,0.850,0.590,0.960,0.950,1.170,2.240,5.880,4.260,4.360,4.680,6.130,8.540,9.970,7.000
forked,4.048,2.370,1.580,2.920,3.670,2.420,3.250,2.290,1.200,2.010,1.870,2.290,2.060,2.060,2.230,1.740,2.270,1.630,1.210,1.900,2.270,1.130
immense,4.000,31.760,45.550,65.490,59.530,62.110,52.310,57.220,46.440,39.160,32.760,34.710,26.110,18.840,20.800,14.240,15.180,13.110,14.440,10.980,10.190,9.050
dappled,4.000,1.110,0.140,0.440,0.630,0.730,0.470,0.640,0.900,0.830,0.500,0.520,0.740,0.940,0.620,0.940,1.030,0.690,1.410,1.630,1.670,1.440
portly,4.000,2.500,0.720,2.550,7.210,3.930,3.310,3.510,2.590,2.740,2.640,1.000,1.910,2.170,1.460,1.430,1.580,1.700,2.010,1.420,1.580,1.020
brilliant,3.952,49.050,47.410,56.960,53.010,64.770,59.220,62.640,48.990,61.440,54.650,42.160,44.160,36.490,35.580,39.220,36.840,30.000,30.220,32.610,31.390,28.040
earthy,3.952,2.370,1.580,1.680,3.420,2.660,2.950,1.920,2.140,1.320,0.960,1.040,1.560,1.770,2.040,1.400,1.480,2.290,1.710,2.050,3.220,2.850
vegetal,3.909,0.210,0.000,0.000,0.000,0.000,0.000,0.050,0.200,1.130,0.230,0.170,0.000,0.110,0.000,0.100,0.030,0.170,0.270,0.150,0.290,0.340
strong,3.905,212.070,214.000,225.220,253.110,246.430,247.810,229.560,271.940,258.780,224.000,185.730,176.730,145.230,165.110,149.710,147.650,147.630,154.870,136.870,135.920,139.170
oily,3.905,3.560,0.720,1.680,2.340,2.360,3.190,1.440,1.790,1.660,2.680,2.600,3.190,4.010,3.320,2.860,3.190,3.300,2.380,4.460,4.820,3.530
rotund,3.900,0.900,0.000,0.150,1.140,1.630,0.590,0.430,0.400,0.490,0.910,0.480,1.010,1.010,1.280,0.630,1.060,0.830,0.800,0.510,0.630,0.680
tarry,3.882,2.410,4.870,5.830,6.900,4.660,4.010,4.150,4.190,3.570,2.640,1.560,1.870,0.690,2.340,1.010,0.620,0.620,0.800,0.450,0.630,0.650
slick,3.810,7.580,0.000,3.500,2.660,0.970,1.120,1.120,2.090,1.220,3.090,4.330,3.580,5.340,7.150,6.840,6.390,7.150,9.250,12.850,15.190,12.270
soapy,3.810,1.550,0.000,0.000,0.000,0.180,0.300,0.900,0.250,0.200,1.460,0.950,0.780,6.240,1.860,1.670,1.200,1.040,0.940,1.420,1.750,1.350
charred,3.684,3.410,0.430,0.880,1.010,1.270,2.420,1.810,2.290,3.520,2.230,2.810,4.050,2.710,2.700,2.790,2.540,2.880,3.720,3.650,4.160,4.400
searing,3.667,1.640,0.430,0.070,0.380,0.120,0.120,0.110,0.150,0.200,0.360,0.390,0.700,1.260,1.570,1.290,1.580,1.940,3.150,2.410,3.190,2.910
weak,3.667,57.940,74.770,53.680,59.090,69.000,79.120,75.260,69.320,63.790,60.740,53.110,47.470,44.070,41.640,40.120,39.390,36.940,42.280,39.040,35.950,38.610
fuzzy,3.667,3.680,0.000,0.000,0.060,0.060,1.240,0.320,0.450,0.340,0.550,3.160,1.710,1.910,2.590,2.900,3.400,3.260,5.390,7.090,8.130,6.740
sodden,3.667,2.340,0.290,0.220,0.630,0.360,0.830,1.760,1.790,1.170,2.680,2.160,2.490,3.000,2.960,2.970,1.480,1.980,2.210,2.230,2.640,1.860
slushy,3.571,0.360,0.000,0.000,0.060,0.000,0.120,0.050,0.200,0.100,0.180,0.260,0.540,0.250,0.400,0.350,0.340,0.450,0.200,0.330,0.520,0.680
craggy,3.467,1.360,2.440,1.970,2.280,2.120,1.540,0.530,0.650,0.730,0.550,0.300,0.390,0.540,0.660,1.190,0.820,1.110,1.710,1.390,2.130,1.350
dank,3.467,2.190,2.860,1.310,1.330,1.150,1.300,1.330,1.050,0.780,0.960,1.340,1.790,1.950,2.410,2.340,1.750,1.600,2.340,3.020,2.960,2.000
tapering,3.400,1.860,0.140,2.770,4.050,3.750,1.770,1.380,1.100,1.270,2.320,2.080,1.630,2.130,1.310,1.710,1.480,1.490,1.140,0.720,0.830,0.710
downy,3.333,1.630,2.010,2.330,4.050,3.330,1.770,2.400,2.240,1.320,2.230,1.000,1.170,0.900,0.770,0.520,0.820,0.730,0.900,0.900,1.290,1.070
medicinal,3.200,1.710,2.440,1.530,1.960,1.690,1.060,1.280,1.200,2.450,1.140,0.870,1.750,1.050,0.950,0.770,1.170,0.730,1.570,2.710,1.610,1.810
muggy,3.176,0.650,0.000,0.070,0.000,0.240,0.180,0.210,0.150,0.200,0.050,0.220,0.430,0.610,0.620,0.590,0.760,0.590,0.870,1.060,1.230,0.960
stagnant,3.150,2.780,3.580,3.210,4.300,3.750,3.480,2.610,2.640,2.200,1.590,1.430,2.180,1.980,2.040,1.880,1.850,2.570,2.550,2.350,1.870,2.400
mellow,3.143,5.800,4.440,9.040,9.810,8.770,6.790,9.790,8.320,6.070,4.870,5.190,6.460,5.770,4.310,3.420,1.960,2.250,3.450,2.560,3.760,2.680
wizened,3.100,1.120,0.000,0.000,0.000,0.120,0.180,0.640,0.400,0.780,1.140,0.820,1.400,1.440,1.420,1.360,1.170,1.010,0.700,1.450,1.120,1.210
breezy,3.000,2.610,0.290,1.240,2.150,2.180,3.420,3.780,3.890,2.250,1.960,1.860,1.090,5.270,2.230,1.400,1.990,1.490,1.340,2.080,2.350,1.750
faint,2.762,46.170,58.300,45.290,58.080,54.310,51.250,54.980,57.960,46.460,52.650,45.620,47.510,46.560,41.130,30.180,29.870,26.670,24.890,25.910,27.220,26.430
lilting,2.545,0.760,0.000,0.070,0.000,0.060,0.000,0.160,0.250,0.290,0.180,0.560,0.580,0.470,0.840,0.630,0.690,0.830,1.070,1.390,1.260,1.070
insipid,1.714,1.310,2.580,3.500,2.780,1.630,2.600,1.600,2.340,1.080,1.140,0.520,0.930,0.790,0.770,0.560,0.790,0.730,0.600,0.510,0.750,0.730
