Word (Visual),StrengthMean,ALL,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
blonde,4.810,11.790,0.000,1.090,1.140,1.030,3.010,5.480,5.530,3.520,4.230,3.680,6.930,17.540,17.450,17.580,15.620,11.620,9.880,10.770,17.400,14.550
colorful,4.810,7.520,0.000,0.000,0.000,0.000,0.000,0.050,0.100,0.000,0.410,1.170,5.490,5.740,7.630,7.850,8.030,8.010,10.020,13.120,15.910,14.670
floral,4.810,3.630,0.000,0.950,2.910,2.240,2.240,2.770,2.190,2.500,3.500,1.860,2.840,2.740,2.040,1.570,1.790,2.120,2.680,4.370,6.890,6.850
rectangular,4.810,3.260,1.150,1.310,0.950,1.510,0.530,1.220,1.400,1.370,1.960,2.210,2.530,2.090,2.770,3.420,3.910,3.020,3.950,5.040,3.730,4.460
brunette,4.800,2.810,0.720,1.090,1.270,1.390,1.770,2.870,1.790,0.980,0.960,1.130,1.400,3.610,3.360,4.120,2.820,2.290,1.510,1.510,4.450,4.030
cute,4.762,15.200,0.860,2.260,0.890,0.850,1.300,1.540,1.200,1.170,1.770,4.070,2.920,10.830,9.930,14.100,15.830,20.430,24.960,27.210,31.760,28.400
elegant,4.762,22.320,35.520,38.510,35.240,41.790,31.650,29.220,23.070,16.160,11.380,8.140,7.780,9.640,11.240,12.840,12.570,16.090,20.900,19.730,24.150,17.150
open,4.762,345.140,212.570,217.340,247.170,257.010,237.830,261.970,262.370,282.030,296.760,295.980,281.860,300.600,292.890,282.650,303.610,308.990,295.030,328.480,345.070,357.150
flickering,4.762,6.460,1.860,5.110,6.140,5.440,5.080,5.640,6.530,4.990,3.780,5.540,4.510,4.150,5.000,5.130,4.880,5.130,5.460,7.870,6.950,6.740
enormous,4.762,42.850,21.340,27.060,31.950,26.730,34.130,42.150,38.520,36.370,37.220,41.770,35.210,40.170,38.290,33.290,34.440,43.360,42.310,39.010,39.140,28.970
blue,4.762,176.940,82.360,87.230,120.330,129.290,140.640,133.430,134.200,132.520,148.340,139.160,159.880,160.530,153.650,149.020,141.500,146.000,139.460,183.990,197.920,185.150
shimmering,4.762,4.400,0.140,0.000,0.380,0.600,2.010,1.540,2.490,2.990,3.000,4.290,5.210,3.140,3.800,3.420,3.500,4.270,5.490,5.880,6.550,5.360
long,4.762,960.150,760.310,769.660,817.170,866.840,896.820,891.500,891.300,901.660,890.510,887.370,849.170,857.660,903.440,853.380,796.600,772.900,719.760,735.340,738.470,721.330
scrawny,4.762,1.830,0.000,0.150,0.060,0.060,0.180,0.110,0.200,0.390,0.410,0.780,1.170,2.530,1.860,2.270,1.920,2.390,2.610,2.230,3.360,2.400
compact,4.762,15.200,25.350,39.890,32.710,22.500,28.640,13.520,13.500,11.260,9.740,10.690,12.220,7.980,6.860,7.640,8.280,9.540,8.910,11.070,9.740,11.680
grey,4.762,23.810,19.910,18.600,29.290,16.630,47.940,46.310,13.260,24.380,20.290,28.130,24.440,28.690,28.650,14.370,11.300,15.090,9.210,11.830,11.830,14.270
foggy,4.762,2.720,0.000,0.880,1.710,1.870,1.890,2.500,2.090,1.420,0.680,1.640,2.410,2.380,2.340,2.200,3.160,2.460,3.120,3.110,3.100,2.960
circular,4.762,11.870,10.740,14.440,14.170,9.620,10.570,11.120,12.010,14.740,12.650,9.260,10.780,10.000,9.850,7.330,9.820,9.470,8.940,8.450,8.270,8.550
curly,4.762,9.020,0.860,1.090,2.150,4.410,5.250,5.540,4.240,5.140,8.240,7.270,6.420,19.890,15.880,6.350,6.280,7.320,4.860,7.360,10.420,8.830
empty,4.750,81.940,24.640,25.450,28.780,35.740,40.450,45.560,44.400,48.860,56.600,57.220,59.030,70.920,86.750,81.120,85.360,88.420,81.910,94.300,95.460,98.980
gigantic,4.714,14.080,7.880,17.580,23.150,20.920,19.310,16.820,14.700,12.880,13.290,15.450,14.860,14.040,14.160,10.400,8.140,8.150,7.670,7.330,6.920,5.670
bloody,4.714,29.920,41.680,42.370,46.620,31.270,28.100,22.890,14.250,18.650,11.190,13.370,17.120,15.050,25.880,19.220,24.140,35.480,34.640,25.970,33.170,27.420
misty,4.714,6.020,4.580,7.070,8.670,8.890,8.030,6.970,7.380,6.120,5.550,6.490,6.300,5.050,4.010,4.540,3.190,3.850,3.720,3.440,3.190,3.720
speckled,4.714,2.080,1.150,1.310,1.960,2.060,2.010,2.180,2.490,1.810,1.180,1.430,1.750,0.830,1.310,1.780,1.100,1.280,1.840,2.380,2.410,2.480
shadowy,4.714,10.590,12.750,14.290,20.050,14.150,15.940,11.600,17.440,14.290,8.460,10.170,9.730,6.240,8.030,5.970,5.120,6.450,6.470,5.220,6.520,4.510
red,4.714,245.570,103.990,113.410,174.860,157.720,141.230,150.940,173.720,169.340,197.700,209.580,237.120,238.740,253.140,239.730,212.890,192.270,205.990,241.330,263.080,250.330
cloudy,4.714,5.650,5.300,6.560,7.780,11.730,6.140,5.640,4.980,5.290,4.550,4.890,4.240,4.480,3.540,3.040,2.990,3.540,4.150,4.250,5.200,4.570
brown,4.714,137.540,62.310,71.040,75.850,64.770,133.680,126.670,116.460,99.720,123.580,118.730,135.210,105.570,137.230,95.150,106.380,118.280,105.560,138.250,161.850,134.910
creased,4.700,2.320,0.720,0.360,0.130,0.480,0.940,0.430,0.500,0.980,1.500,1.470,1.830,2.270,2.450,2.580,2.610,2.710,2.680,2.350,3.070,3.670
reddish,4.700,4.010,1.860,2.410,3.350,4.230,2.180,2.340,1.940,3.130,3.690,2.680,3.500,5.090,3.650,3.000,3.570,3.400,4.390,3.920,3.450,3.580
conical,4.692,1.940,1.580,3.140,3.990,7.080,1.770,1.600,2.640,2.010,1.680,1.130,1.170,1.910,1.020,0.840,1.340,1.080,0.970,1.210,0.980,0.710
translucent,4.684,2.720,0.140,0.660,0.570,0.850,1.300,0.900,1.300,2.060,1.090,1.300,1.090,2.270,1.680,1.430,1.720,2.190,2.880,5.070,5.140,5.160
glamorous,4.667,3.060,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.050,0.000,0.350,1.250,3.500,3.030,4.330,3.740,3.120,5.090,5.160,6.030,4.540
glittery,4.667,0.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.040,0.080,0.140,0.220,0.210,0.070,0.240,0.540,0.900,1.060,1.210
spotted,4.667,14.890,3.010,2.840,6.960,6.530,4.490,4.150,4.390,5.140,5.320,5.630,5.720,7.580,12.990,14.410,17.650,16.580,17.020,21.510,24.070,27.700
polished,4.667,17.180,19.190,18.450,22.140,20.320,15.710,16.500,13.450,15.910,15.200,12.030,12.220,15.560,13.910,15.110,11.740,11.200,12.900,13.700,16.020,13.540
little,4.667,1359.890,900.540,1021.350,1010.750,1319.730,1341.890,1471.270,1495.080,1421.570,1457.010,1518.020,1335.740,1299.490,1244.060,1128.670,1066.250,974.980,930.770,963.820,909.170,813.420
grubby,4.667,1.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.180,0.130,0.740,0.610,1.200,1.330,1.480,1.600,1.510,1.330,1.750,1.550
rippling,4.632,3.830,4.580,3.650,4.050,5.380,4.550,3.090,5.230,5.140,3.190,3.590,3.540,2.240,1.930,1.710,2.230,1.770,3.080,3.620,3.680,3.020
